Frequenz (Hz)	Pegel (dB)
0,672913	-74,071571
1,345825	-74,836845
2,018738	-72,088951
2,691650	-71,929008
3,364563	-73,216248
4,037476	-70,218170
4,710388	-68,802887
5,383301	-69,968140
6,056213	-68,436577
6,729126	-71,687065
7,402039	-71,105095
8,074951	-69,278839
8,747864	-69,131187
9,420776	-68,687515
10,093689	-69,043472
10,766602	-67,602005
11,439514	-68,077843
12,112427	-69,981888
12,785339	-68,470657
13,458252	-67,487305
14,131165	-67,281860
14,804077	-62,155323
15,476990	-59,134605
16,149902	-60,894848
16,822815	-64,432304
17,495728	-60,646538
18,168640	-58,587399
18,841553	-64,286514
19,514465	-65,822906
20,187378	-65,798424
20,860291	-67,996857
21,533203	-68,625290
22,206116	-67,789116
22,879028	-70,655243
23,551941	-73,215332
24,224854	-72,829071
24,897766	-74,400703
25,570679	-73,460548
26,243591	-77,166672
26,916504	-79,619972
27,589417	-77,397766
28,262329	-74,486244
28,935242	-75,763977
29,608154	-78,037201
30,281067	-80,283028
30,953979	-78,126556
31,626892	-76,788567
32,299805	-77,375076
32,972717	-78,842537
33,645630	-80,074013
34,318542	-77,176857
34,991455	-78,951294
35,664368	-78,920135
36,337280	-79,546379
37,010193	-77,876320
37,683105	-76,304527
38,356018	-78,343231
39,028931	-79,603386
39,701843	-80,718826
40,374756	-79,666946
41,047668	-81,497688
41,720581	-83,588364
42,393494	-81,086571
43,066406	-84,646858
43,739319	-79,274780
44,412231	-79,736488
45,085144	-80,308525
45,758057	-81,529633
46,430969	-82,020256
47,103882	-82,494896
47,776794	-80,610718
48,449707	-82,901443
49,122620	-76,890968
49,795532	-78,566879
50,468445	-78,980804
51,141357	-81,884171
51,814270	-73,932831
52,487183	-75,954330
53,160095	-77,585213
53,833008	-77,946320
54,505920	-75,771706
55,178833	-77,014252
55,851746	-75,069527
56,524658	-75,042542
57,197571	-76,355698
57,870483	-74,365578
58,543396	-75,357033
59,216309	-74,642220
59,889221	-74,316208
60,562134	-72,893860
61,235046	-74,213951
61,907959	-73,834579
62,580872	-74,377403
63,253784	-74,491966
63,926697	-74,162712
64,599609	-74,764679
65,272522	-74,471581
65,945435	-76,646591
66,618347	-76,034340
67,291260	-76,477982
67,964172	-77,886932
68,637085	-77,821640
69,309998	-79,582764
69,982910	-79,500938
70,655823	-80,107727
71,328735	-81,024452
72,001648	-79,804077
72,674561	-81,050232
73,347473	-81,472176
74,020386	-75,631859
74,693298	-78,215073
75,366211	-79,847839
76,039124	-82,605614
76,712036	-82,282776
77,384949	-80,914627
78,057861	-80,263573
78,730774	-81,171280
79,403687	-80,850861
80,076599	-78,385231
80,749512	-79,663239
81,422424	-81,055984
82,095337	-82,917244
82,768250	-78,218727
83,441162	-80,970940
84,114075	-79,897507
84,786987	-77,809868
85,459900	-77,571815
86,132813	-78,151764
86,805725	-77,168282
87,478638	-78,699226
88,151550	-76,577492
88,824463	-76,068909
89,497375	-69,734566
90,170288	-66,929985
90,843201	-74,839798
91,516113	-78,818481
92,189026	-79,291336
92,861938	-83,918976
93,534851	-82,631287
94,207764	-80,226570
94,880676	-82,539070
95,553589	-79,540909
96,226501	-79,542152
96,899414	-81,283165
97,572327	-81,229919
98,245239	-83,845016
98,918152	-79,776024
99,591064	-71,377007
100,263977	-69,945107
100,936890	-80,193077
101,609802	-81,989830
102,282715	-83,304237
102,955627	-85,797134
103,628540	-85,406754
104,301453	-84,137291
104,974365	-82,758064
105,647278	-83,053368
106,320190	-81,527206
106,993103	-81,972023
107,666016	-84,587090
108,338928	-87,188385
109,011841	-87,299133
109,684753	-83,638191
110,357666	-82,783424
111,030579	-84,050018
111,703491	-85,205322
112,376404	-86,497093
113,049316	-86,248131
113,722229	-87,881836
114,395142	-87,236862
115,068054	-87,880127
115,740967	-86,140259
116,413879	-88,443703
117,086792	-85,192146
117,759705	-85,663956
118,432617	-84,503693
119,105530	-84,196693
119,778442	-85,443123
120,451355	-86,611092
121,124268	-86,115860
121,797180	-83,819527
122,470093	-87,790253
123,143005	-88,988640
123,815918	-86,783913
124,488831	-83,405380
125,161743	-84,709549
125,834656	-84,802338
126,507568	-83,644768
127,180481	-80,226509
127,853394	-81,739082
128,526306	-85,441177
129,199219	-83,977127
129,872131	-82,990326
130,545044	-81,201935
131,217957	-82,014687
131,890869	-84,475708
132,563782	-85,515327
133,236694	-87,109207
133,909607	-87,256203
134,582520	-86,884987
135,255432	-88,055328
135,928345	-86,284637
136,601257	-89,244118
137,274170	-87,614960
137,947083	-86,707123
138,619995	-86,998497
139,292908	-84,204628
139,965820	-87,881332
140,638733	-87,171471
141,311646	-87,149582
141,984558	-85,204254
142,657471	-87,561729
143,330383	-83,319008
144,003296	-85,795349
144,676208	-86,237991
145,349121	-87,524651
146,022034	-88,481216
146,694946	-85,507271
147,367859	-85,307068
148,040771	-83,446983
148,713684	-86,378288
149,386597	-88,274368
150,059509	-86,289200
150,732422	-86,215164
151,405334	-85,972153
152,078247	-85,320457
152,751160	-84,207100
153,424072	-83,328247
154,096985	-85,713760
154,769897	-82,082855
155,442810	-84,310707
156,115723	-83,961044
156,788635	-84,748581
157,461548	-85,854317
158,134460	-86,548744
158,807373	-89,298218
159,480286	-85,645241
160,153198	-85,541649
160,826111	-88,962631
161,499023	-85,452492
162,171936	-86,898415
162,844849	-88,388466
163,517761	-86,605705
164,190674	-87,264481
164,863586	-87,516342
165,536499	-87,681717
166,209412	-88,645348
166,882324	-88,490852
167,555237	-89,666824
168,228149	-88,200195
168,901062	-88,981239
169,573975	-88,502174
170,246887	-91,511154
170,919800	-89,108055
171,592712	-88,959702
172,265625	-88,679268
172,938538	-88,684898
173,611450	-89,612885
174,284363	-89,799332
174,957275	-88,693855
175,630188	-87,539810
176,303101	-87,757553
176,976013	-89,485710
177,648926	-93,249977
178,321838	-91,748642
178,994751	-89,562729
179,667664	-90,155022
180,340576	-91,076187
181,013489	-89,628075
181,686401	-89,411919
182,359314	-91,717300
183,032227	-90,092857
183,705139	-90,968155
184,378052	-88,992676
185,050964	-89,159988
185,723877	-90,468712
186,396790	-89,651466
187,069702	-90,497665
187,742615	-91,279861
188,415527	-91,077484
189,088440	-90,088081
189,761353	-88,515465
190,434265	-89,729256
191,107178	-91,805115
191,780090	-91,974281
192,453003	-91,550621
193,125916	-90,813385
193,798828	-93,164078
194,471741	-93,099678
195,144653	-90,250916
195,817566	-90,198563
196,490479	-91,188927
197,163391	-90,775185
197,836304	-89,218147
198,509216	-88,577209
199,182129	-87,864861
199,855042	-86,134026
200,527954	-89,793503
201,200867	-91,355385
201,873779	-88,010223
202,546692	-89,370285
